sampno,recruit_type,naics,group,b02_decisionmaker,b04_orgtype,c06_biztype,c07_title,c08_callocations,c09_totallocations,d10_purchase10years1,d10_purchase10years2,d10_purchase10years3,d11_numlight1,d11_numlight2,d11_numlight3,d11_numlight4,d11_numlighttotal,d13_numalt1,d13_numalt2,d13_numalt3,d13_numalt4,d13_numalt5,d13_numalt6,d13_numalt7,d13_numalt8,d13_numalttotal,d15_purchintent,pev01_whyphev1,pev01_whyphev2,pev01_whyphev3,pev01_whyphev4,pev01_whyphev5,pev01_whyphev6,pev01_whyphev7,pev01_whyphev8,pev01_whyphev9,pev01_whyphev10,pev01_whyphev11,pev01_whyphev12,pev01_whyphev13,pev01_whyphev14,pev01_whyphev15,pev01_whyphev16,pev01_whyphev17,pev01_whyphev18,pev01_whyphev_x,pev02_whybev1,pev02_whybev2,pev02_whybev3,pev02_whybev4,pev02_whybev5,pev02_whybev6,pev02_whybev7,pev02_whybev8,pev02_whybev9,pev02_whybev10,pev02_whybev11,pev02_whybev12,pev02_whybev13,pev02_whybev14,pev02_whybev15,pev02_whybev16,pev02_whybev17,pev02_whybev18,pev02_whybev_x,pev03_altconcerns1,pev03_altconcerns2,pev03_altconcerns3,pev03_altconcerns4,pev03_altconcerns5,pev03_altconcerns6,pev03_altconcerns7,pev03_altconcerns8,pev04_refuelinstall,pev05_installcost1,pev05_installcost2,pev06_chargefrequency,pev07_chargemorning1,pev07_chargemorning2,pev07_chargemorning3,pev07_chargemorning4,pev07_chargemorning5,pev07_chargemorning6,pev08_chargeafternoon1,pev08_chargeafternoon2,pev08_chargeafternoon3,pev08_chargeafternoon4,pev08_chargeafternoon5,pev08_chargeafternoon6,pev09_chargeevening1,pev09_chargeevening2,pev09_chargeevening3,pev09_chargeevening4,pev09_chargeevening5,pev09_chargeevening6,pev10_chargenight1,pev10_chargenight2,pev10_chargenight3,pev10_chargenight4,pev10_chargenight5,pev10_chargenight6,pev11_variablerates,pev13_meter,pev14_specialrate,pev15_kwhrate,pev16_actualrange,e19_new_used,e19_purchase_lease,e19_add_replace,e19_next_veh_type,e19_next_powertrain,e19_next_make,e19_next_mpg,e19_next_charge_time,e19_next_annual_miles,e19_next_price,f20_refuelingcurrent1,f20_refuelingcurrent2,f20_refuelingcurrent3,f20_refuelingcurrent4,f20_refuelingcurrent5,f20_refuelingcurrent6,f20_refuelingcurrent7,f20_refuelingcurrent8,f20_refuelingcurrent9,f21_refuelingfuture1,f21_refuelingfuture2,f21_refuelingfuture3,f21_refuelingfuture4,f21_refuelingfuture5,f21_refuelingfuture6,f21_refuelingfuture7,f21_refuelingfuture8,f21_refuelingfuture9,f22_refuelingfuturecost1,f22_refuelingfuturecost2,f22_refuelingfuturecost3,f22_refuelingfuturecost4,f22_refuelingfuturecost5,f22_refuelingfuturecost6,f22_refuelingfuturecost7,f22_refuelingfuturecost8,g23_autonomousagree1,g23_autonomousagree2,g23_autonomousagree3,g23_autonomousagree4,g24_consideralt1,g24_consideralt2,g24_consideralt3,g24_consideralt4,g24_consideralt5,g24_consideralt7,g24_consideralt9,g24_consideralt10,g24_consideralt11,g25_bevconcerns1,g25_bevconcerns2,g25_bevconcerns3,g25_bevconcerns4,g25_bevconcerns5,g25_bevconcerns6,g25_bevconcerns7,g25_bevconcerns8,g25_bevconcerns9,g25_bevconcerns10,g25_bevconcerns11,g25_bevconcerns12,g25_bevconcerns13,g25_bevconcerns14,g25_bevconcerns_x,g25_bevconcerns15,g25_bevconcerns16,g26_phevconcerns1,g26_phevconcerns2,g26_phevconcerns3,g26_phevconcerns4,g26_phevconcerns5,g26_phevconcerns6,g26_phevconcerns7,g26_phevconcerns8,g26_phevconcerns9,g26_phevconcerns10,g26_phevconcerns11,g26_phevconcerns12,g26_phevconcerns_x,g26_phevconcerns13,g26_phevconcerns14,g27_fcvconcerns1,g27_fcvconcerns2,g27_fcvconcerns3,g27_fcvconcerns4,g27_fcvconcerns5,g27_fcvconcerns6,g27_fcvconcerns7,g27_fcvconcerns8,g27_fcvconcerns9,g27_fcvconcerns10,g27_fcvconcerns11,g27_fcvconcerns_x,g27_fcvconcerns12,g27_fcvconcerns13,companyparking1,companyparking2,companyparking3,companyparking4,parkamt,companyparking5,companyparktime,topattributes1,topattributes2,topattributes3,topattributes4,topattributes5,topattributes6,topattributes7,topattributes8,topattributes9,topattributes10,topattributes11,topattributes12,topattributes13,topattributes14,topattributes15,h28_services1,h28_services2,h28_services3,h28_services4,h29_employeenum,h31_futuregas,region_code,zipcode,pevowner
3567,4,54,3,1,1,,Owner,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,9,1,15,30,-1,-1,25000,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,,0,0,1,0,0,1,1,1,0,0,1,0,0,0,,0,0,1,0,0,0,1,1,1,0,0,1,0,,0,0,0,1,0,0,,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,3.5,2,92532,0
3569,4,44,2,1,1,,owner,1,0,0,2,0,0,1,0,1,2,2,0,0,0,0,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,8,1,10,25,-1,-1,20000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,4.0,6,93933,0
3572,4,45,2,1,1,,"Owner, Managing Member",1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,2,2,2,1,5,28,-1,-1,48000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20000,-1,-1,-1,-1,-1,-1,-1,3,5,2,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,0,0,0,1,0,,0,0,0,1,0,0,,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,3.5,2,92201,0
3576,4,81,3,1,2,,Pastor,1,0,0,2,0,0,1,1,0,2,2,0,0,0,0,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,2,1,2,13,1,13,25,-1,-1,20000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,,0,-1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,3.8,6,93446,0
3577,4,54,3,1,1,,owner operator,1,0,1,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,2,1,31,22,-1,-1,45000,1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,1,1,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,4,4,1,5.0,2,91708,0
3581,4,53,3,1,1,,President,1,0,2,1,0,2,0,0,0,2,1,1,0,0,0,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,3,10,48,50,-1,-1,35000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,5,3,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,1,0,,0,0,1,1,1,0,,0,-1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,3,2,5.0,2,91607,0
3583,4,81,3,1,1,,Owner,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,3,1,48,150,-1,-1,17000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,1,0,1,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,1,1,0,,0,0,0,0,1,0,,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,3.2,3,91945,0
3585,4,71,3,1,1,,owner,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,2,1,2,4,1,31,25,-1,-1,40000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,0,0,1,0,0,0,1,1,0,1,1,0,0,,0,0,0,0,0,0,,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,4.0,6,86301,0
3587,4,54,3,1,1,,Owner,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,2,1,2,8,1,15,25,-1,-1,20000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,,0,0,1,0,0,0,1,1,1,1,0,0,0,0,,0,0,1,0,0,0,0,1,1,1,1,0,0,,0,0,0,0,1,0,,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,3.5,3,92124,0
3588,4,51,3,1,2,,RMA,1,1,1,2,0,2,1,0,0,3,1,2,0,0,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,2,1,1,2,1,5,120,-1,-1,15000,0,1,0,0,1,1,0,0,0,0,-1,0,1,-1,-1,0,0,0,-1,-1,-1,150,-1,-1,-1,-1,4,3,4,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,,0,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,5,5,60,3.0,2,93311,0
3589,4,23,1,1,1,,marketing,1,0,2,2,0,1,0,0,2,3,3,0,0,0,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,2,1,2,3,1,1,25,-1,-1,30000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,,0,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,2.0,1,94578,0
3590,4,53,3,1,1,,CFO,3,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,9,1,52,30,-1,-1,45000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,1,1,0,1,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,175,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,10,3.25,2,90210,0
3592,4,72,3,1,1,,Owner,3,3,1,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,3,2,48,35,-1,-1,40000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,5,5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,37,3.5,2,90272,0
3593,4,54,3,1,1,,Owner/sole prop.,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,8,1,52,24,-1,-1,25000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,1,0,1,0,,0,0,1,0,1,0,,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,2,1,4.0,2,90064,0
3596,4,52,3,1,1,,Owner,1,0,2,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,9,1,52,25,-1,-1,40000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,4,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,,0,0,1,0,0,0,1,0,1,1,0,1,0,0,,0,0,1,0,0,0,0,0,1,0,0,1,0,,0,0,1,0,1,0,,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,6,5.0,6,93930,0
3598,4,54,3,1,1,,owner,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,2,1,2,3,1,50,30,-1,-1,20000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,1,0,0,0,1,0,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,4.5,3,92029,0
3600,4,54,3,1,1,,Consultant,1,4,1,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,3,1,3,25,-1,-1,50000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,,0,0,1,0,0,0,1,0,0,1,1,0,0,1,limited driving distance,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,3,1,1.8,5,95356,0
3601,4,53,3,1,2,,owner,2,0,2,1,2,2,1,1,1,5,5,0,0,0,0,0,0,0,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,4,1,2,8,4,46,32,-1,-1,35000,0,1,1,0,0,0,0,1,0,1,-1,-1,0,0,0,0,-1,0,25000,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,0,0,1,1,1,0,,0,0,1,1,1,1,0,0,0,1,0,0,0,,0,0,0,1,0,0,,0,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,2,1,12,3.5,2,91731,0
3603,4,51,3,1,1,,Owner,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,3,1,18,35,-1,-1,25000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,4,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,,0,-1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,4.75,1,94606,0
3606,4,81,3,1,1,,Owner,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,1,1,2,2,2,15,40,-1,-1,20000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,1,1,0,1,1,0,0,0,,0,0,1,0,0,0,1,0,0,1,1,1,0,,0,0,0,0,0,0,,1,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,7.5,3,92081,0
3610,4,81,3,1,1,,OWNER,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,2,1,2,1,1,5,28,-1,-1,30000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,1,1,1,0,0,1,0,,0,0,1,0,0,0,,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,10,3.5,4,95630,0
